,,,,County,,,CTY_SUB,CTY_SUBA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,D15AA1970,D15AA1980,D15AA1990,D15AA2000,D15AA2010,D15AA2020,D15AB1970,D15AB1980,D15AB1990,D15AB2000,D15AB2010,D15AB2020
,Kansas,20,200,Brown County,13,130,Hamlin township,29725,Hamlin Township,HAMLIN TOWNSHIP,Hamlin township,Hamlin township,Hamlin township,Hamlin township,529,419,387,344,335,275,0,0,0,0,0,0,529,419,387,344,335,275
,Kansas,20,200,Brown County,13,130,Hiawatha city,31675,Hiawatha City,HIAWATHA CITY,Hiawatha city,Hiawatha city,Hiawatha city,Hiawatha city,3365,3702,3603,3417,3172,3280,3365,3702,3603,3377,3128,0,0,0,0,40,44,3280
,Kansas,20,200,Brown County,13,130,Hiawatha township,31700,Hiawatha Township,HIAWATHA TOWNSHIP,Hiawatha township,Hiawatha township,Hiawatha township,Hiawatha township,885,859,681,739,710,616,0,0,0,62,17,0,885,859,681,677,693,616
,Kansas,20,200,Brown County,13,130,Horton city,33200,Horton City,HORTON CITY,Horton city,Horton city,Horton city,Horton city,2177,2130,1885,1967,1776,1523,0,0,0,0,0,0,2177,2130,1885,1967,1776,1523
,Kansas,20,200,Brown County,13,130,Irving township,34500,Irving Township,IRVING TOWNSHIP,Irving township,Irving township,Irving township,Irving township,318,298,315,311,306,315,0,0,0,0,0,0,318,298,315,311,306,315
,Kansas,20,200,Brown County,13,130,Mission township,47200,Mission Township,MISSION TOWNSHIP,Mission township,Mission township,Mission township,Mission township,837,764,671,645,556,550,0,0,0,0,0,0,837,764,671,645,556,550
,Kansas,20,200,Brown County,13,130,Morrill township,48325,Morrill Township,MORRILL TOWNSHIP,Morrill township,Morrill township,Morrill township,Morrill township,640,647,587,503,479,491,0,0,0,0,0,0,640,647,587,503,479,491
,Kansas,20,200,Brown County,13,130,Padonia township,54025,Padonia Township,PADONIA TOWNSHIP,Padonia township,Padonia township,Padonia township,Padonia township,322,339,311,259,234,204,0,0,0,0,0,0,322,339,311,259,234,204
,Kansas,20,200,Brown County,13,130,Powhattan township,57375,Powhattan Township,POWHATTAN TOWNSHIP,Powhattan township,Powhattan township,Powhattan township,Powhattan township,690,875,913,874,888,849,0,0,0,0,0,0,690,875,913,874,888,849
,Kansas,20,200,Brown County,13,130,Robinson township,60350,Robinson Township,ROBINSON TOWNSHIP,Robinson township,Robinson township,Robinson township,Robinson township,581,589,532,452,422,363,0,0,0,0,0,0,581,589,532,452,422,363
,Kansas,20,200,Brown County,13,130,Sabetha city,62025,,SABETHA CITY,Sabetha city,Sabetha city,Sabetha city,Sabetha city,,4,6,7,7,11,,0,0,0,6,0,,4,6,7,1,11
,Kansas,20,200,Brown County,13,130,Walnut township,74875,Walnut Township,WALNUT TOWNSHIP,Walnut township,Walnut township,Walnut township,Walnut township,781,731,712,665,592,560,0,0,0,0,0,0,781,731,712,665,592,560
,Kansas,20,200,Brown County,13,130,Washington township,75525,Washington Township,WASHINGTON TOWNSHIP,Washington township,Washington township,Washington township,Washington township,560,598,525,541,507,471,0,0,0,0,0,0,560,598,525,541,507,471
,Kansas,20,200,Butler County,15,150,Augusta city,3300,Augusta City,AUGUSTA CITY,Augusta city,Augusta city,Augusta city,Augusta city,5977,6968,7876,8423,9274,9256,5977,6968,7876,8394,9265,9223,0,0,0,29,9,33
,Kansas,20,200,Butler County,15,150,Augusta township,3325,Augusta Township,AUGUSTA TOWNSHIP,Augusta township,Augusta township,Augusta township,Augusta township,1126,1074,1077,1405,1371,1242,0,0,0,155,85,8,1126,1074,1077,1250,1286,1234
,Kansas,20,200,Butler County,15,150,Benton township,6200,Benton Township,BENTON TOWNSHIP,Benton township,Benton township,Benton township,Benton township,963,1404,1747,2211,2278,2330,0,0,0,0,0,0,963,1404,1747,2211,2278,2330
,Kansas,20,200,Butler County,15,150,Bloomington township,7500,Bloomington Township,BLOOMINGTON TOWNSHIP,Bloomington township,Bloomington township,Bloomington township,Bloomington township,299,316,386,544,535,495,0,0,0,0,0,0,299,316,386,544,535,495
